AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,Price USD
12.6,135,130,164,-,68250
12.3,130,195,166,170,66045
12.3,130,195,166,170,60375
12.7,130,95,176,-,79118.55
11.6,130,100,167,-,67200
11.9,130,95,176,-,73028.55
11.9,130,195,166,170,155716.05
7.3,150,235,161,270,31500
6.9,160,230,165,260,33265.05
8.7,150,250,180,380,44001.3
9,150,250,168,330,36750
9,150,250,168,330,37717.05
9.5,145,170,168,190,38678.85
8.3,145,170,168,190,39795
7.9,167,400,160,380,34789.65
9.9,155,255,154,210,31500
7.9,167,365,175,340,36181.95
7.9,167,365,175,320,42982.8
9.9,157,230,170,220,36750
8.2,140,220,193,260,37859.85
7.3,150,185,156,260,42000
8.1,150,275,164,420,60375
7.3,150,335,173,210,37353.75
8.5,150,255,176,390,47250
8.1,150,275,164,420,52500
8.5,150,250,180,380,68250
11.4,135,315,165,230,61551
9.5,140,310,168,230,64554
11.4,135,255,161,230,68901
9,150,335,188,350,22492.05
9.7,150,250,180,380,35669.55
6.5,160,425,181,570,38678.85
9.7,165,250,153,210,33495
7.8,167,370,173,350,47250
9.8,155,235,167,230,34650
7.5,160,270,193,190,63458.85
9,150,180,178,240,39098.85
5,200,350,171,440,52500
7.9,144,220,164,230,42000
7.3,157,325,172,390,52500
7.6,160,440,198,520,47250
8.5,200,420,207,500,26775
7.5,160,330,191,440,36120
5.9,200,325,194,440,40936.35
5.1,200,375,232,450,49875
10,160,290,179,230,56700
8.8,160,420,183,560,49245
7,160,400,193,540,70725.9
6.2,180,400,193,540,85720.95
9,160,320,181,440,83417.25
9,140,225,156,270,98490
10,160,270,167,250,108139.5
9.6,150,190,168,220,78750
7.9,160,440,175,590,34908.3
7.5,160,420,183,560,57750
9,160,350,166,490,39900
7.3,160,340,171,470,74162.55
7.3,160,340,171,470,47250
4.9,180,375,200,470,225750
6.3,180,400,193,540,25760.7
6.3,180,410,188,550,21135.45
6.8,180,360,206,560,30603.3
4,200,450,178,650,39917.85
7,180,450,200,430,39293.1
6,180,430,209,410,30695.7
6,180,340,206,360,43602.3
6.6,180,360,194,380,36645
5.1,180,370,216,440,47250
4.7,210,400,181,620,58254
4.6,233,450,161,940,56175
5.6,225,310,153,650,100852.5
5.1,217,425,171,930,65100
3.4,261,435,167,910,110250
3.7,241,410,177,900,189820.05
6.8,190,280,231,450,26029.5
5.7,200,380,228,610,23131.5
5.7,200,365,237,590,22456.35
6.8,190,295,219,470,25793.25
4.5,210,320,270,510,34646.85
4.5,210,335,258,540,31166.1
5.5,190,390,244,460,36079.05
7.5,190,325,222,420,32743.2
7.5,190,400,238,480,34789.65
4.8,200,365,232,340,30695.7
3.5,240,425,197,850,42834.75
10,150,575,104,540,40010.25
2.8,250,610,180,620,34278.3
2.8,260,375,223,780,59262
4,250,365,195,730,71442
4,250,425,197,890,48699
3.5,250,385,217,770,57750
3.2,260,390,215,810,72958.2
3.8,250,515,184,560,131250
4.6,250,450,211,490,83989.5
2.5,261,505,188,550,108092.25
2.8,250,440,216,480,156450
4.6,220,610,250,500,89900
10,140,330,273,290,47250
14,123,190,200,190,39375
22.4,130,160,194,-,57198.75
3,210,750,267,710,90289.5
5,190,460,261,710,101839.5
7,180,390,256,740,114767.1